label,text
alcohol,"the more light hearted side effects of drinking alcohol once euphoria sets in. But the feeling you get when the amount of alcohol in your blood increases can have disastrous consequences too. It can make you underestimate your own abilities and behave recklessly. That road doesn't look as busy, that gap isn't so big and besides, you are an expert"
alcohol,"and behave recklessly. That road doesn't look as busy, that gap isn't so big and besides, you are an expert long jumper... As blood alcohol concentration (BAC) rises, so does the risk of accidents. BAC, the amount of alcohol in your breath or blood, is measured in mg of alcohol per 100ml of blood, or mg%. It's affected by all"
alcohol,"your breath or blood, is measured in mg of alcohol per 100ml of blood, or mg%. It's affected by all sorts of factors, including how much alcohol you drink, how fast you drink it, your body size, how much you've eaten, your gender and even your emotional health. 2. Alcohol slows you down Alcohol affects your body's responses. It slows"
alcohol,"eaten, your gender and even your emotional health. 2. Alcohol slows you down Alcohol affects your body's responses. It slows down your brain which means you are more likely to have an accident. Drinking alcohol can: * * affect our judgement and reasoning slow down our reactions * upset our sense of balance and coordination * impair our vision and"
alcohol,"judgement and reasoning slow down our reactions * upset our sense of balance and coordination * impair our vision and hearing * make us lose concentration and feel drowsy. 3. More young men die from drink driving than any other group of people Since 1979, when detailed reporting began, there has been an almost six-fold reduction in the number killed"
alcohol,"group of people Since 1979, when detailed reporting began, there has been an almost six-fold reduction in the number killed in drink drive accidents and a similar drop in seriously injured casualties (1). That's the good news. The bad news is that drink drive accidents still account for 16% of all road deaths in Britain (2). For drivers, alcohol can:"
alcohol,"is that drink drive accidents still account for 16% of all road deaths in Britain (2). For drivers, alcohol can: * reduce your ability to see distant objects - night vision can be reduced by 25% (3) * make you have blurred and double vision * reduce your ability to perceive what is happening around you * make you lose"
alcohol,"have blurred and double vision * reduce your ability to perceive what is happening around you * make you lose your peripheral vision. In the UK, the alcohol limit for drivers is 80mg of alcohol per 100ml of blood, 35mg per 100ml of breath or 107mg per 100ml of urine (4). Visit our drink driving page for more information... 4."
alcohol,"per 100ml of breath or 107mg per 100ml of urine (4). Visit our drink driving page for more information... 4. Alcohol increases the risk of accidents at home and work, and of fires Stark statistics reveal the extent to which alcohol increases the risk of accidents of all kinds: * Accidents at home. Alcohol is the single biggest cause of"
alcohol,"alcohol increases the risk of accidents of all kinds: * Accidents at home. Alcohol is the single biggest cause of accidents at home. Of the 4,000 fatal accidents that happen in homes in the UK every year, 400 are alcohol- related (5). * Accidents at work. Alcohol is a factor in up to one in four workplace accidents. * Fires."
alcohol,"related (5). * Accidents at work. Alcohol is a factor in up to one in four workplace accidents. * Fires. In 2008, the London Fire Brigade estimated that almost a third of accidental fire deaths in the capital were alcohol related. (6). 5. The effects of alcohol can last longer than you think Even after alcohol has left your bloodstream,"
alcohol,"related. (6). 5. The effects of alcohol can last longer than you think Even after alcohol has left your bloodstream, you're more likely to have an accident. In one study, 14 hours after drinking, two-thirds of a group of pilots could not perform routine tasks in a simulator, despite the fact that all the alcohol had left their system (7)."
alcohol,"could not perform routine tasks in a simulator, despite the fact that all the alcohol had left their system (7). If you've had an accident when you've been drinking, other effects are: * Your recovery from injury may be hindered. This is because alcohol affects your circulation and the immune system. * It's harder for doctors to diagnose serious conditions"
alcohol,"This is because alcohol affects your circulation and the immune system. * It's harder for doctors to diagnose serious conditions such as head injuries when a patient is drunk. * Alcohol can interfere with anaesthetic and other medication, meaning operations and treatment may be delayed. Three ways to avoid alcohol-related accidents 1. Don't drive, operate machinery, swim or take unnecessary"
alcohol,"and treatment may be delayed. Three ways to avoid alcohol-related accidents 1. Don't drive, operate machinery, swim or take unnecessary risks. 2. Look out for friends who may be behaving recklessly. 3. Remember that your performance and judgement could still be affected by alcohol the day after a heavy drinking session. Four top first aid tips to deal with alcohol-related"
alcohol,"be affected by alcohol the day after a heavy drinking session. Four top first aid tips to deal with alcohol-related accidents 1. If you are at the scene of an accident, call the emergency services as soon as possible. Once you've called for help, if the person who needs it is unconscious, make sure their airway is open. If they"
alcohol,"you've called for help, if the person who needs it is unconscious, make sure their airway is open. If they are sick and their throat or tongue becomes blocked with vomit, they can choke and stop breathing. 2. If the person is breathing, place them in the recovery position. If they aren't breathing, perform chest compressions and breathe into their"
alcohol,"person is breathing, place them in the recovery position. If they aren't breathing, perform chest compressions and breathe into their mouth. 3. If someone is bleeding, apply pressure to the wound using a clean cloth or piece of clothing. If they're in shock, lay them down, and raise and support the injured limb. 4. If someone is burned or scalded,"
alcohol,"they're in shock, lay them down, and raise and support the injured limb. 4. If someone is burned or scalded, cool the affected area in cold running water for at least 10 minutes, then cover the wound with a clean, non-fluffy cloth to prevent infection. Alcohol related accidents facts * Accident victims who have been drinking suffer more serious injuries"
alcohol,"non-fluffy cloth to prevent infection. Alcohol related accidents facts * Accident victims who have been drinking suffer more serious injuries than those who haven't (8). * Younger people are more likely to have an alcohol-related accident than older people (9). * 280 people were killed in drink drive accidents in 2012, an increase of around 17 per cent compared with"
alcohol,"* 280 people were killed in drink drive accidents in 2012, an increase of around 17 per cent compared with 2011 and accounting for 16 per cent of all road deaths in Great Britain (10). Staying in control Drinking within the lower risk guidelines will help you keep your drinking under control. Here are three ways you can cut back:"
alcohol,"the lower risk guidelines will help you keep your drinking under control. Here are three ways you can cut back: 1. Give alcohol-free days a go. If you drink regularly, your body starts to build up a tolerance to alcohol. This is one of the main reasons why many medical experts recommend taking regular days off from drinking to ensure"
alcohol,"This is one of the main reasons why many medical experts recommend taking regular days off from drinking to ensure you don't become addicted to alcohol. Test out having a break for yourself and see what positive results you notice. 2. Stress less. Some people drink alcohol to relax, but in reality alcohol can make you feel even more stressed"
alcohol,"2. Stress less. Some people drink alcohol to relax, but in reality alcohol can make you feel even more stressed out. Try not to make alcohol key to your after work wind down, and consider some alternative stress-busters like hitting the gym or having a hot bath. 3. Know what you're buying. Check out the ABV on a bottle of"
alcohol,"the gym or having a hot bath. 3. Know what you're buying. Check out the ABV on a bottle of wine before you buy it. ABV stands for Alcohol by Volume, which is the percentage of the drink that is pure alcohol. It's not uncommon for a bottle of wine to be verging on 15% ABV, which could easily push"
alcohol,"pure alcohol. It's not uncommon for a bottle of wine to be verging on 15% ABV, which could easily push you over the daily guidelines if you drink more than one glass. Producers are increasingly introducing 10% or lower ABV wines that are as palatable as their stronger counterparts. Look out for them when you're next buying a bottle. 3-"
alcohol,"wines that are as palatable as their stronger counterparts. Look out for them when you're next buying a bottle. 3- http://www.ibtimes.com/us-traffic-fatalities-slightly-2012-alcohol-related-mayhem-rises-5- percent-according-latest-data US Traffic Fatalities Up Slightly In 2012 As Alcohol-Related Mayhem Rises 5 Percent, According To The Latest Data By Angelo Young Deaths related to vehicle accidents on U.S. highways ticked up in 2012, but are still lower than"
alcohol,"By Angelo Young Deaths related to vehicle accidents on U.S. highways ticked up in 2012, but are still lower than they've been since 1950. NHTSA Slightly more than 1,000 people were killed in 2012 on U.S. highways compared to the previous year, according to data released Thursday by the National Highway Traffic Safety Administration (NHTSA). But despite the 3 percent"
alcohol,"previous year, according to data released Thursday by the National Highway Traffic Safety Administration (NHTSA). But despite the 3 percent increase, to 33,561 fatalities, deaths remain at historic lows. Among the other findings: Deaths related to driving under the influence of alcohol jumped 5 percent, to 10,322, with most incidents involving drivers with blood-alcohol levels over twice the legal limit"
alcohol,"of alcohol jumped 5 percent, to 10,322, with most incidents involving drivers with blood-alcohol levels over twice the legal limit of 0.08 percent. The number of highway deaths last year were at levels unseen since 1950, when the U.S. had about 70 million cars compared to more than 254 million today, according to data from the U.S. Bureau of Transportation"
alcohol,"about 70 million cars compared to more than 254 million today, according to data from the U.S. Bureau of Transportation Statistics. ""Highway deaths claim more than 30,000 lives each year, and while we've made substantial progress over the past 50 years, it's clear that we have much more work to do,"" said U.S. Transportation Secretary Anthony Foxx in a statement"
alcohol,"years, it's clear that we have much more work to do,"" said U.S. Transportation Secretary Anthony Foxx in a statement announcing the data. Motorcycle and semi-truck drivers saw an increase in death for the third consecutive year, by 7.1 percent and 8.9 percent, respectively. The data also shows that nearly two-thirds of people who die in nighttime car accidents in"
alcohol,"and 8.9 percent, respectively. The data also shows that nearly two-thirds of people who die in nighttime car accidents in 2011 weren't wearing seatbelts. The NHTSA has only recently started tracking deaths caused by distracted driving, and say it's still working on improving how it captures and quantifies data. This year it estimates that deaths from distracted driving ticked down"
alcohol,"working on improving how it captures and quantifies data. This year it estimates that deaths from distracted driving ticked down to 3,328 from 3,360 while injuries from distracted driving increased 9 percent to about 421,000. Mississippi topped the list of states that saw the biggest reduction in auto-related fatalities, while New Jersey saw the biggest decline in alcohol-related fatal accidents."
alcohol,"states that saw the biggest reduction in auto-related fatalities, while New Jersey saw the biggest decline in alcohol-related fatal accidents. Since the NHTSA began tracking this metric in 1976, clusters of quarterly year-over-year declines in highway fatalities have take place in periods of time that have included economic recessions. Do GDP retreats reduce highway fatalities? NHTSA It's interesting to note"
alcohol,"in periods of time that have included economic recessions. Do GDP retreats reduce highway fatalities? NHTSA It's interesting to note that since 1976 the year-over-year quarterly reductions in the number of fatalities on U.S. highways occurred in periods that continued economic recessions. Now, correlation doesn't imply causation, but it would make sense if there was, say, less cargo movement on"
alcohol,"economic recessions. Now, correlation doesn't imply causation, but it would make sense if there was, say, less cargo movement on the nation's highways, or fewer road trips from cash- strapped Americans. If that's the case then economic recessions have their bright sides in the form of less blood on the pavement. 4- http://www.solomonstarnews.com/news/national/16784-curse-of-alcohol-its-the-leading- cause-of-traffic-accidents-here CURSE OF ALCOHOL - It's the"
alcohol,"bright sides in the form of less blood on the pavement. 4- http://www.solomonstarnews.com/news/national/16784-curse-of-alcohol-its-the-leading- cause-of-traffic-accidents-here CURSE OF ALCOHOL - It's the leading cause of traffic accidents here Thursday, 20 December 2012 15:18 ALCOHOL is the leading cause of traffic accidents during festive seasons in the last 12 years, statistics released yesterday revealed. According to the Traffic Statistic report on road accidents"
alcohol,"festive seasons in the last 12 years, statistics released yesterday revealed. According to the Traffic Statistic report on road accidents in Honiara from 2000- 2012, there is an average of 226 accidents per year. The report revealed that out of these accidents, an average of nine deaths and 47 injuries occurrences in a year, with a massive 57 percent of"
alcohol,"these accidents, an average of nine deaths and 47 injuries occurrences in a year, with a massive 57 percent of these accidents related to alcohol. ""These accidents were the results of careless driving, most significantly driving under the influence of liquor,"" Director of Traffic, Inspector Frank Menesa said. The report also stated a survey conducted by The Watch House on"
alcohol,"liquor,"" Director of Traffic, Inspector Frank Menesa said. The report also stated a survey conducted by The Watch House on the month of September this year alone revealed that out of 120 returns received, 22.5 percent of drivers were moderately intoxicated whilst 25 percent were drunk. ""This would sum up to 47.5 percent of the persons arrested were under the"
alcohol,"intoxicated whilst 25 percent were drunk. ""This would sum up to 47.5 percent of the persons arrested were under the influence of liquor. ""Drink driving is a major problem not only in Honiara but throughout the entire country, highlighting that the abuse of alcohol is the major cause of traffic accidents today,"" Inspector Menesa said. He warned that drivers caught"
alcohol,"the abuse of alcohol is the major cause of traffic accidents today,"" Inspector Menesa said. He warned that drivers caught driving whilst under the influence of liquor during this festive season will be arrested on the spot and be subjected to prosecution. ""Drink driving is the main cause of traffic accidents today, and now with the increasing number of vehicles"
alcohol,"to prosecution. ""Drink driving is the main cause of traffic accidents today, and now with the increasing number of vehicles in Honiara, the chances of more and more traffic accidents relating to alcohol abuse are likely to increase. ""We will fight to stop it therefore we urge all drivers and pedestrians to abide by all traffic rules and regulations,"" Inspector"
alcohol,"fight to stop it therefore we urge all drivers and pedestrians to abide by all traffic rules and regulations,"" Inspector Menesa said. By JEREMY INIFIRI 5- http://www.hightimes.com/read/studies-alcohol%E2%80%99s-role-auto-accidents- far-greater-cannabis Studies: Alcohol's Role In Auto Accidents Far Greater Than That Of Cannabis Alcohol remains far and away the most prevalent drug present in the blood of drivers involved in severe or fatal"
alcohol,"Alcohol remains far and away the most prevalent drug present in the blood of drivers involved in severe or fatal traffic accidents, according to a pair of recently published European studies. In one study, published in the October issue of the journal Accident Analysis and Prevention, Danish researchers assessed the overall risk of a driver being severely injured in an"
alcohol,"the journal Accident Analysis and Prevention, Danish researchers assessed the overall risk of a driver being severely injured in an accident after having consumed alcohol, illicit substances, or various types of pharmaceutical drugs, including opioids, benzodiazepenes, and so-called 'Z-drugs' (sedatives/sleep aids) such as Ambien. Case samples (N = 2490) were collected from severely injured drivers in selected hospitals in six"
alcohol,"aids) such as Ambien. Case samples (N = 2490) were collected from severely injured drivers in selected hospitals in six European countries. Cases were matched against nearly 16,000 randomly stopped controls. Odds rations were adjusted for age, gender and country. Investigators reported: ""The highest risk of the driver being severely injured was associated with driving positive for high concentrations of"
alcohol,"Investigators reported: ""The highest risk of the driver being severely injured was associated with driving positive for high concentrations of alcohol (>=0.8 g/L), alone or in combination with other psychoactive substances. ...The second most risky category contained various drug- drug combinations, amphetamines and medicinal opioids. Medium increased risk was associated with medium sized BACs (at or above 0.5 g/L, below"
alcohol,"combinations, amphetamines and medicinal opioids. Medium increased risk was associated with medium sized BACs (at or above 0.5 g/L, below 0.8 g/L) and benzoylecgonine. The least risky drug seemed to be cannabis and benzodiazepines and Z- drugs."" Specifically, drivers with concentrations of alcohol in their blood possessed an elevated risk of accident that was nearly 10 times more than that"
alcohol,"concentrations of alcohol in their blood possessed an elevated risk of accident that was nearly 10 times more than that of sober drivers. Subjects who tested positive for blood/alcohol concentrations between .08 and 1.2 possessed an elevated risk that was more than 16 times that of sober drivers, while drivers with concentrations above 1.2 possessed an elevated risk that was"
alcohol,"more than 16 times that of sober drivers, while drivers with concentrations above 1.2 possessed an elevated risk that was nearly 80 times higher. By contrast, ""The driver injury risk estimated with driving positive for cannabis was just above one."" Drivers who tested positive for the presence of legal medicines possessed an elevated risk that was nearly twice that of"
alcohol,"Drivers who tested positive for the presence of legal medicines possessed an elevated risk that was nearly twice that of cannabis. ""It is concluded that among psychoactive substances alcohol still poses the largest problem in terms of driver risk of getting injured,"" the authors determined. They are not alone in their finding. Writing this month in the Scandinavian Journal of"
alcohol,"getting injured,"" the authors determined. They are not alone in their finding. Writing this month in the Scandinavian Journal of Public Health, Swedish researchers similarly concluded that alcohol is far more likely to be detected in the blood of fatally injured drivers than is the presence of either illicit substances or prescription drugs. Investigators evaluated the concentrations of alcohol and"
alcohol,"injured drivers than is the presence of either illicit substances or prescription drugs. Investigators evaluated the concentrations of alcohol and other drugs in blood samples from Swedish drivers killed in road-traffic crashes over a four-year period (2008-2011). They concluded: ""Not surprisingly, the legal drug alcohol topped the list of psychoactive substances identified in blood samples from fatally injured drivers, which"
alcohol,"surprisingly, the legal drug alcohol topped the list of psychoactive substances identified in blood samples from fatally injured drivers, which confirms results and surveys done in other nations...Indeed, in 76 percent of fatalities the autopsy BAC was over 1.0 g/L, which gives convincing evidence that these drivers were impaired at the time of the crash."" By contrast, investigators acknowledged that"
alcohol,"which gives convincing evidence that these drivers were impaired at the time of the crash."" By contrast, investigators acknowledged that the presence of an illicit drug alone was only present in 2.5 percent of all fatal crashes. THC specifically was identified in the blood of 3 percent of all drivers, though in many of these cases other substances were also"
alcohol,"identified in the blood of 3 percent of all drivers, though in many of these cases other substances were also identified. The presence of prescription drugs was documented in nearly 8 percent of all fatal traffic accidents. Other recent studies and reviews have similarly reported that cannabis is typically less likely to be associated with traffic injury compared to other"
alcohol,"and reviews have similarly reported that cannabis is typically less likely to be associated with traffic injury compared to other controlled substances, including various prescription medications. These findings call into question politicians' and law enforcements' supposed justification for the enactment of per se or so-called zero tolerant per se limits for the presence of cannabinoids. Such proposals forbid drivers from"
alcohol,"of per se or so-called zero tolerant per se limits for the presence of cannabinoids. Such proposals forbid drivers from operating a motor vehicle if they have a detectable level of THC or its metabolite present in their bodily fluids above a specific, state- imposed threshold. To date, eleven US states -- Arizona, Delaware, Georgia, Illinois, Indiana, Iowa, Michigan, Oklahoma,"
alcohol,"above a specific, state- imposed threshold. To date, eleven US states -- Arizona, Delaware, Georgia, Illinois, Indiana, Iowa, Michigan, Oklahoma, Rhode Island, Utah, and Wisconsin -- impose zero tolerance per se thresholds for the presence of cannabinoids and/or their metabolites. Five states impose non-zero-tolerant per se thresholds for cannabinoids in blood: Montana (5ng/ml), Pennsylvania (1ng/ml), Ohio (2ng/ml), Nevada (2ng/ml) and"
alcohol,"Five states impose non-zero-tolerant per se thresholds for cannabinoids in blood: Montana (5ng/ml), Pennsylvania (1ng/ml), Ohio (2ng/ml), Nevada (2ng/ml) and Washington (5ng/ml). In Colorado, the presence of THC/blood levels above 5ng/ml ""gives rise to permissible inference that the defendant was under the influence."" Nonetheless, despite the growing popularity of these laws, a recent white paper analyzing their impact found ""no"
alcohol,"under the influence."" Nonetheless, despite the growing popularity of these laws, a recent white paper analyzing their impact found ""no evidence that per se drugged driving laws reduce traffic fatalities."" Paul Armentano is deputy director of NORML. 6- http://www.cdc.gov/motorvehiclesafety/impaired_driving/impaired-drv_factsheet.html Impaired Driving: Get the Facts Every day, almost 30 people in the United States die in motor vehicle crashes that involve"
alcohol,"Driving: Get the Facts Every day, almost 30 people in the United States die in motor vehicle crashes that involve an alcohol-impaired driver. This amounts to one death every 48 minutes.1 The annual cost of alcohol-related crashes totals more than $51 billion.2 Thankfully, there are effective measures that can help prevent injuries and deaths from alcohol-impaired driving. How big is"
alcohol,"$51 billion.2 Thankfully, there are effective measures that can help prevent injuries and deaths from alcohol-impaired driving. How big is the problem? * * * * * In 2010, 10,228 people were killed in alcohol-impaired driving crashes, accounting for nearly one-third (31%) of all traffic-related deaths in the United States.1 Of the 1,210 traffic deaths among children ages 0 to"
alcohol,"one-third (31%) of all traffic-related deaths in the United States.1 Of the 1,210 traffic deaths among children ages 0 to 14 years in 2010, 211 (17%) involved an alcohol-impaired driver.1 Of the 211 child passengers ages 14 and younger who died in alcohol-impaired driving crashes in 2010, over half (131) were riding in the vehicle with the alcohol-impaired driver.1 In"
alcohol,"died in alcohol-impaired driving crashes in 2010, over half (131) were riding in the vehicle with the alcohol-impaired driver.1 In 2010, over 1.4 million drivers were arrested for driving under the influence of alcohol or narcotics.3 That's one percent of the 112 million self-reported episodes of alcohol-impaired driving among U.S. adults each year.4 Drugs other than alcohol (e.g., marijuana and"
alcohol,"the 112 million self-reported episodes of alcohol-impaired driving among U.S. adults each year.4 Drugs other than alcohol (e.g., marijuana and cocaine) are involved in about 18% of motor vehicle driver deaths. These other drugs are often used in combination with alcohol.5 CDC Vital Signs: Drinking and Driving: A Threat to Everyone US adults drank too much and got behind the"
alcohol,"alcohol.5 CDC Vital Signs: Drinking and Driving: A Threat to Everyone US adults drank too much and got behind the wheel about 112 million times in 2010. Alcohol-impaired drivers* are involved in about 1 in 3 crash deaths, resulting in over 10,000 deaths in 2010. *These drivers had blood alcohol concentrations of at least 0.08%. This is the illegal blood"
alcohol,"over 10,000 deaths in 2010. *These drivers had blood alcohol concentrations of at least 0.08%. This is the illegal blood alcohol concentration level for adult drivers in the United States. Learn more Who is most at risk? * Young people: o o At all levels of blood alcohol concentration (BAC), the risk of being involved in a crash is greater"
alcohol,"o o At all levels of blood alcohol concentration (BAC), the risk of being involved in a crash is greater for young people than for older people.6 Among drivers with BAC levels of 0.08 % or higher involved in fatal crashes in 2010, more than one out of every 3 were between 21 and 24 years of age (34%). The"
alcohol,"crashes in 2010, more than one out of every 3 were between 21 and 24 years of age (34%). The next two largest groups were ages 25 to 34 (30%) and 35 to 44 (25%).1 * Motorcyclists: o o Among motorcyclists killed in fatal crashes in 2010, 28% had BACs of 0.08% or greater. 1 Nearly half of the alcohol-impaired"
alcohol,"motorcyclists killed in fatal crashes in 2010, 28% had BACs of 0.08% or greater. 1 Nearly half of the alcohol-impaired motorcyclists killed each year are age 40 or older, and motorcyclists ages 40-44 have the highest percentage of deaths with BACs of 0.08% or greater (44%).7 * Drivers with prior driving while impaired (DWI) convictions: o Drivers with a BAC"
alcohol,"BACs of 0.08% or greater (44%).7 * Drivers with prior driving while impaired (DWI) convictions: o Drivers with a BAC of 0.08% or higher involved in fatal crashes were four times more likely to have a prior conviction for DWI than were drivers with no alcohol in their system? (8% and 2%, respectively).1 A Closer Look * Sobriety checkpoints: traffic"
alcohol,"than were drivers with no alcohol in their system? (8% and 2%, respectively).1 A Closer Look * Sobriety checkpoints: traffic stops where law enforcement officers assess drivers' level of alcohol impairment. These checkpoints consistently reduce alcohol-related crashes, typically by 9%. * Ignition interlocks: devices that are installed in the vehicles of people who have been convicted of driving while impaired."
alcohol,"* Ignition interlocks: devices that are installed in the vehicles of people who have been convicted of driving while impaired. They prevent operation of the vehicle by anyone with a blood alcohol concentration (BAC) above a specified safe level (usually 0.02% - 0.04%). When installed, interlocks are associated with about a 70% reduction in arrest rates for impaired driving. How"
alcohol,"0.02% - 0.04%). When installed, interlocks are associated with about a 70% reduction in arrest rates for impaired driving. How can deaths and injuries from impaired driving be prevented? Effective measures include: * * * * Actively enforcing existing 0.08% BAC laws, minimum legal drinking age laws, and zero tolerance laws for drivers younger than 21 years old in all"
alcohol,"BAC laws, minimum legal drinking age laws, and zero tolerance laws for drivers younger than 21 years old in all states.3,8,9 Promptly taking away the driver's licenses of people who drive while intoxicated.10 Using sobriety checkpoints.11 Putting health promotion efforts into practice that influence economic, organizational, policy, and school/community action.12,13 * * * Using community-based approaches to alcohol control and"
alcohol,"into practice that influence economic, organizational, policy, and school/community action.12,13 * * * Using community-based approaches to alcohol control and DWI prevention.10,14,15 Requiring mandatory substance abuse assessment and treatment, if needed, for DWI offenders.16 Raising the unit price of alcohol by increasing taxes.17,18 Areas for continued research: * * Reducing the illegal BAC threshold to 0.05%.17,19,20 Mandatory blood alcohol testing"
alcohol,"by increasing taxes.17,18 Areas for continued research: * * Reducing the illegal BAC threshold to 0.05%.17,19,20 Mandatory blood alcohol testing when traffic crashes result in injury.17 Effects of BAC The more alcohol you consume, the more impaired you become. Learn how your blood alcohol concentration (BAC) affects your ability to drive. What safety steps can individuals take? Whenever your social"
alcohol,"how your blood alcohol concentration (BAC) affects your ability to drive. What safety steps can individuals take? Whenever your social plans involve alcohol, make plans so that you don't have to drive after drinking. For example: * * * * Prior to any drinking, designate a non-drinking driver when with a group. Don't let your friends drive impaired. Take their"
alcohol,"Prior to any drinking, designate a non-drinking driver when with a group. Don't let your friends drive impaired. Take their keys away. If you have been drinking, get a ride home or call a taxi. If you're hosting a party where alcohol will be served, remind your guests to plan ahead and designate their sober driver; offer alcohol-free beverages; and"
